SNo,Class Name,GPT3 discription
0,clap,"

clap is Human action for clap refers to the act of striking one's hands together to produce a sharp, loud sound."
1,circle,"

circle is A human action for ""circle"" could mean drawing a circular shape or moving in a circular pattern."
2,jumping jack,"

jumping jack is A jumping jack is a physical exercise in which one jumps from a standing position with legs together and arms at the sides to a position with the legs apart and the arms above the head."
3,squat down,"

squat down is The human action ""squat down"" means to bend the knees and lower the body close to the ground."
4,jump squat,"

jump squat is Jump squat is a human action involving a lower body exercise that combines a squat with a jump."
5,push-up,"

push-up is Human action for push-up refers to the body movement of raising and lowering oneself by arm strength."
6,sit down,"

sit down is Human action for sit down refers to a person lowering their body to rest in a seated position."
7,salute,"

salute is A salute is a gesture of respect or acknowledgement, often used in military or ceremonial contexts."
8,bend forward,"

bend forward is ""Bend forward"" means to lean or incline the upper part of the body towards the front or ground."
9,hurdle start,"

hurdle start is Human action for hurdle start refers to the physical movements a person undertakes to begin a hurdle race."
10,long jump,"

long jump is Human action for long jump involves running, leaping, and landing to achieve maximum horizontal distance."
11,nod head,"

nod head is Nodding the head is a human action typically used to express agreement, affirmation or understanding."
12,walking,"

walking is Human action for walking refers to the conscious, voluntary movement of legs for locomotion."
13,running,"

running is Running is a human action involving swift movement on foot where both feet leave the ground simultaneously."
14,shake head,"

shake head is Shake head as a human action means to move one's head from side to side, typically indicating denial or disapproval."
15,circle head,"

circle head is Human action for circle head refers to the movements or behaviors performed by a character with a rounded face."
16,circle arm,"

circle arm is Human action for circle arm refers to the movement where a person swings their arm in a circular motion."
17,raise the arm,"

raise the arm is Human action to raise the arm refers to the deliberate, volitional movement of the upper limb upwards."
18,side kick,"

side kick is A human action side kick involves someone performing a swift, sideways kicking movement, often in martial arts."
19,forward kick,"

forward kick is Human action for forward kick involves projecting force from the leg to strike or propel something forward."
20,high leg lift,"

high leg lift is High leg lift in human action denotes the movement of raising one's leg up to waist level or higher."
21,waving hand,"

waving hand is Waving hand is a human action used as a gesture for greeting, attention-seeking or saying goodbye."
22,punch straight forward,"

punch straight forward is Human action for punch straight forward refers to the physical movement of thrusting one's fist directly ahead."
23,catch a ball,"

catch a ball is Human action to catch a ball refers to the conscious and coordinated physical effort to intercept and secure a thrown ball."
24,throw a ball,"

throw a ball is Human action for throwing a ball refers to the physical movement people perform to propel a ball."
25,catch and throw a ball,"

catch and throw a ball is Human action for catching and throwing a ball involves coordination of motor skills, timing, and visual perception."
26,walk with a ball,"

walk with a ball is Human action for ""walk with a ball"" refers to a person moving while carrying or controlling a ball."
27,circle the ball around the main body,"

circle the ball around the main body is The person is moving the ball in a circular motion around their body."
28,circle the ball around the leg,"

circle the ball around the leg is Human action for circling the ball around the leg refers to maneuvering a ball around one's limb."
29,open and close umbrella,"

open and close umbrella is Human action for open and close umbrella refers to the physical activity of expanding or folding an umbrella."
30,open the computer,"

open the computer is The human action to open the computer refers to the act of power-on or initiating the computer system."
31,close the computer,"

close the computer is Human action to close the computer refers to a person manually shutting down or turning off the PC."
32,use the phone,"

use the phone is Human action refers to the steps taken by a person, such as dialling numbers on a phone."
33,put on glasses,"

put on glasses is The human action of putting on glasses involves lifting eyewear to the face and positioning them over the eyes."
34,put off glasses,"

put off glasses is The human action of putting off glasses refers to the act of removing eyewear from one's face."
35,tie shoelaces,"

tie shoelaces is Human action for tying shoelaces involves intricately manipulating and knotting laces to secure shoes onto feet."
36,take a photo,"

take a photo is Human action for taking a photo refers to someone using a camera or smartphone to capture images."
37,lift the box,"

lift the box is Human action for lifting the box refers to a person using their strength and effort to elevate a container."
38,put down the box,"

put down the box is The term refers to the deliberate movement carried out by a person to set a box on a surface."
39,drink water,"

drink water is Human action for drinking water refers to the voluntary activity of ingesting liquid H2O for hydration."
40,twist the bottle cap,"

twist the bottle cap is Human action for twisting the bottle cap involves applying force to rotate the cap for removal or tightening."
41,walk with an opened unbrella,"

walk with an opened unbrella is A person strolling with an opened umbrella usually indicates protection from ongoing rain or harsh sun."
42,walk with a box,"

walk with a box is Human action for walk with a box involves a person physically moving while carrying a container."
43,run with a box,"

run with a box is A human action for run with a box means the physical activity of a person jogging or sprinting while carrying a box."
44,falling down,"

falling down is Falling down refers to the involuntary action of losing balance and suddenly collapsing to the ground."
45,vomit,"

vomit is Human action for vomit refers to the act of forcefully expelling stomach contents through the mouth."
46,staggering,"

staggering is Staggering in human action refers to an unsteady, wobbly movement often resulting from weakness or exhaustion."
47,walk with stomach pain,"

walk with stomach pain is A human action of walking with stomach pain refers to someone moving while experiencing abdominal discomfort."
48,walk with headache,"

walk with headache is A human action for walk with headache refers to the act of moving on foot while experiencing head pain."
49, walk with back pain,"

 walk with back pain is The human action ""walk with back pain"" refers to an individual moving around while experiencing discomfort in their spine."
50,leg injury walking,"

leg injury walking is Human action for leg injury walking refers to the deliberate movements made by an individual to accommodate a leg injury while walking."
51,hug,"

hug is A human action for hug means an embrace with arms typically to express affection or comfort."
52,fight,"

fight is Human action for fight refers to the physical or mental efforts made by humans to confront or resist something."
53,wave hand to each other,"

wave hand to each other is Waving hand to each other is a non-verbal greeting or departure gesture commonly used among humans."
54,handshake,"

handshake is A handshake is a human action symbolizing agreement, friendship, respect, or conclusion of a deal."
55,shoulder tapping,"

shoulder tapping is Shoulder tapping is a human action signifying attention-seeking, alerting someone, or initiating communication."
56,clap hand,"

clap hand is Clapping hands involves striking both hands together repeatedly to create noise, often as a form of applause."
57,handing box,"

handing box is Human action for handing box refers to the physical motion of a person giving or passing a box to someone else."
