0,L type clamp back
1,wink_ Blink an eye
2,W type clamp back
3,YTW Rowing Action
5,Upper and Lower Swing Arms
13, Alternate Front Kick
14, Alternate Knee Kick to Tip
15, Alternate Front Kick Jump
16, Alternate Knee Lift
18, Stretch
20, Body flexion and rotation
21, Body Rotation Movement
22, Side Lift
23, Side Lift Swivel Arm
24, Side Lunge Squat
25, Bow Side Flat Lift
26, Bow Rowing Action
27, Bow Straight Arm Rowing
29, Make gestures
30, Make a Face
31, eavesdropping action
34, Scratch Fist
36, Front Fold
37, Front and rear foot pads
39, Cutting Nails
42, Single Leg Jump
44, Volume Data Cable
47, In Place Hip Kick
48, Jumping Rope in Place
49, Step in Place
60, Right swag
61, Right Shoulder Stretch
62, Right humeral triple extension
63, Right Back Stretch
64, Right Neck Stretch
65, Right single swing arm
66, Right thigh front stretch
67, Right calf stretch
68, Right Lunge Twist Stretch
69, Right Bend
70, Raise hand with right hand
71, Right hand raised
72, Right Hand Circle
76, Right Leg Back Pressure
77, Right iliopsoas muscle stretch
80, Tongue sticking out
81, Shout
83, Drinking Water
85, hiss action
88, Thigh Inner Stretch
93, Left swag
94, Left Shoulder Stretch
95, Left humeral triple extension
96, Left Back Stretch
97, Left Neck Stretch
98, Left Front Thigh Stretch
99, Left single swing arm
100, Left calf stretch
101, Left Bow Step Twist Stretch
102, Left Bend
103, Raise hand with left hand
104, Left hand raised
105, Left hand circle
109, Left leg pressed backwards
110, Left iliopsoas muscle stretching
114,Opening and closing steps
115,- jumping jack
117, Bend down and walk
118, Bare Hand Squat
119, Bare Hand Hard Pull Boat Action
120, Wandering and Pacing
121, Wear a mask
122, Wear a hat
124,Fan
125, Gesture Compared to Heart
128,Arm Cross
131, Strike Ten Step Fist
132,Snap Fingers
133,Sneezing
135, Making a phone call
136, Playing Long Fist
137,Throw Throw Pillow
139,Throw paper plane
140,Chest Expansion
141,Sweeping the floor
142, Twist waist
145, Grab Hair
146, Scratch your ears and cheeks
147, Shooting action
148, Surrender
149, Shake Legs
150, Shake clothes
161,Twist Cup Cover
162, Arched Hand Gift
165,Sidebag
166,Scratching
168, Wave
169, Fist
173, Chest Beating
174, Beating Legs
175, Pull Out Ears
182,Heel lifting
185, Rubbing Hands for Heating
186, Moving a chair
188, Shake your head
191,Paper Throwing Cannon
193, Touch chin
195, Touch Ear Clip Back
197, Touch waist and clip back
199, Touch the Nose
202,Wipe Cup
205, Hip Up Kick Jump
206,Salute
210, Mummy Jump
214, Skew Head Biye
223, Deep Squat
225, Nod
226,Like
227, Warm Up Relaxation Jump
228,Guessing Fists
235, Eye Care Exercise
240, Vertical Middle Finger
242, Standing Right Rear Leg Lift
244, Standing Left Rear Leg Lift
245, Standing Elbow Knee Rotation
247, Standing Twist
255, Simplified Tai Chi Left Right Shuttle
258, Simplified Tai Chi White Crane Spreads Wings
261, Simplified Tai Chi Wild Horse Split Mane
262, Arrow Squat
265, Arrow Squat Jump
267, Combination Recommendation
270, Flip Book
272, Shoulder Wrap
273,Chest Stretch
275,Hip Kick Jump
277,Kangaroo Shake
278, Take a step forward
281, Stamping feet
282, Kicking
283, Kicking Trees
284, Jump
285, Transfer pen
286, Continuous Right Knee Strike
287, Continuous Left Knee Strike
289,Arnold Recommendation
290, Bow
291, Air Kiss
293, High Leg Lift
294,Duck Step
