0,clap
9,hurdle start
10,long jump
11,nod head
12,walking
13,running
15,circle head
16,circle arm
18,side kick
19,forward kick
20,high leg lift
21,waving hand
23,catch a ball
25,catch and throw a ball
27,circle the ball around the main body
28,circle the ball around the leg
33,put on glasses
34,put off glasses
35,tie shoelaces
36,take a photo
37,lift the box
39,drink water
40,twist the bottle cap
41,walk with an opened unbrella
42,walk with a box
44,falling down
45,vomit
46,staggering
47,walk with stomach pain
